sampleID	slice	medium	dilution	counts	manually_ex	auto_ex	used_counts	ex2	real_counts	real_counts_zero	log_counts	underestimation	undest_logcounts	ex3
B5	4	YGC4	2	218		0	218	0	21800	21800	4.338456494	0	4.338456494	0
B5	4	YGC4	3	13		0	13	0	13000	13000	4.113943352	0	4.113943352	0
B5	5	BR	2	63		0	63	0	6300	6300	3.799340549	0	3.799340549	0
B5	5	BR	3	2		0		x				0		x
B5	5	MRS	5	219		0	219	0	21900000	21900000	7.340444115	0	7.340444115	0
B5	5	MRS	6	42		0	42	0	42000000	42000000	7.62324929	0	7.62324929	0
B5	5	MRS	7	4		0		x				0		x
B5	5	PCA	5	322		0	322	0	32200000	32200000	7.507855872	0	7.507855872	0
B5	5	PCA	6	34		0	34	0	34000000	34000000	7.531478917	0	7.531478917	0
B5	5	PCA	7	4		0		x				0		x
B5	5	VRBD	3	300		x	300	x				0		x
B5	5	VRBD	4	221		0	221	0	2210000	2210000	6.344392274	0	6.344392274	0
B5	5	YGC25	2	212		0	212	0	21200	21200	4.326335861	0	4.326335861	0
B5	5	YGC25	3		x	x		x				0		x
B5	5	YGC4	2	300		x	300	x				0		x
B5	5	YGC4	3	300		x	300	x				1	5.477121255	0
B5	6	BR	2	118		0	118	0	11800	11800	4.071882007	0	4.071882007	0
B5	6	BR	2	138		0	138	0	13800	13800	4.139879086	0	4.139879086	0
B5	6	BR	3	9		0		x				0		x
B5	6	BR	3	14		0	14	0	14000	14000	4.146128036	0	4.146128036	0
B5	6	MRS	5	130		0	130	0	13000000	13000000	7.113943352	0	7.113943352	0
B5	6	MRS	5	369		0	369	0	36900000	36900000	7.567026366	0	7.567026366	0
B5	6	MRS	6	19		0	19	0	19000000	19000000	7.278753601	0	7.278753601	0
B5	6	MRS	6	32		0	32	0	32000000	32000000	7.505149978	0	7.505149978	0
B5	6	MRS	7	0		0		x				0		x
B5	6	MRS	7	4		0		x				0		x
B5	6	PCA	5	134		0	134	0	13400000	13400000	7.127104798	0	7.127104798	0
B5	6	PCA	5	232		0	232	0	23200000	23200000	7.365487985	0	7.365487985	0
B5	6	PCA	6	21		0	21	0	21000000	21000000	7.322219295	0	7.322219295	0
B5	6	PCA	6	29		0	29	0	29000000	29000000	7.462397998	0	7.462397998	0
B5	6	PCA	7	0		0		x				0		x
B5	6	PCA	7	1		0		x				0		x
B5	6	VRBD	2	300		x	300	x				0		x
B5	6	VRBD	2	300		x	300	x				0		x
B5	6	VRBD	3	300		x	300	x				0		x
B5	6	VRBD	3	300		x	300	x				0		x
B5	6	VRBD	4	336		0	336	0	3360000	3360000	6.526339277	0	6.526339277	0
B5	6	VRBD	4	65		0	65	0	650000	650000	5.812913357	0	5.812913357	0
B5	6	YGC25	2	145		0	145	0	14500	14500	4.161368002	0	4.161368002	0
B5	6	YGC25	2	219		0	219	0	21900	21900	4.340444115	0	4.340444115	0
B5	6	YGC25	3	18		0	18	0	18000	18000	4.255272505	0	4.255272505	0
B5	6	YGC25	3	21		0	21	0	21000	21000	4.322219295	0	4.322219295	0
B5	6	YGC4	2	300		x	300	x				0		x
B5	6	YGC4	2	300		x	300	x				0		x
